vote_id,voting_scheme,limitation_dropped,num_voters,num_candidates,outcome,hapiness_list,overall_hapiness,strategic_voters,risk_of_strategic_voting,alternative_risk,pairs
0,Plurality,BTVA,50,3,"{'B': 18, 'A': 17, 'C': 15}","[0.81, 0.43, 1.0, 1.0, 1.0, 0.52, 0.81, 0.52, 0.52, 0.52, 0.43, 0.52, 1.0, 1.0, 1.0, 0.81, 0.81, 0.52, 1.0, 0.52, 1.0, 0.52, 1.0, 1.0, 1.0, 0.43, 0.52, 1.0, 0.43, 1.0, 1.0, 0.43, 0.81, 1.0, 0.52, 0.52, 0.43, 0.52, 0.52, 0.52, 0.52, 0.43, 1.0, 1.0, 0.52, 1.0, 0.52, 0.52, 0.43, 0.81]",35.660000000000004,"[2, 11, 26, 29, 32, 37, 42, 49]","[0.01, 0.04, 0.0, 0.01, 0.01, 0.03, 0.01, 0.03, 0.03, 0.03, 0.04, 0.03, 0.01, 0.01, 0.01, 0.01, 0.01, 0.03, 0.0, 0.03, 0.0, 0.03, 0.0, 0.0, 0.01, 0.04, 0.03, 0.0, 0.04, 0.0, 0.01, 0.04, 0.01, 0.01, 0.03, 0.03, 0.04, 0.03, 0.03, 0.03, 0.03, 0.04, 0.01, 0.0, 0.03, 0.0, 0.03, 0.03, 0.04, 0.01]",0.09000000000000002,
1,Plurality,BTVA,50,3,"{'B': 19, 'C': 18, 'A': 13}","[0.43, 0.81, 1.0, 0.81, 0.43, 0.52, 0.52, 1.0, 1.0, 0.52, 0.52, 1.0, 1.0, 1.0, 0.81, 0.52, 0.52, 0.81, 1.0, 0.81, 0.43, 0.52, 1.0, 0.52, 0.52, 1.0, 1.0, 0.81, 1.0, 0.52, 0.81, 0.81, 0.52, 1.0, 0.52, 0.43, 0.81, 1.0, 1.0, 0.81, 0.81, 0.52, 1.0, 0.52, 1.0, 0.52, 0.43, 1.0, 1.0, 1.0]",37.86,[],"[0.04, 0.01, 0.01, 0.01, 0.04, 0.03, 0.03, 0.01, 0.0, 0.03, 0.03, 0.0, 0.01, 0.01, 0.01, 0.03, 0.03, 0.01, 0.01, 0.01, 0.04, 0.03, 0.01, 0.03, 0.03, 0.0, 0.01, 0.01, 0.01, 0.03, 0.01, 0.01, 0.03, 0.01, 0.03, 0.04, 0.01, 0.01, 0.01, 0.01, 0.01, 0.03, 0.01, 0.03, 0.0, 0.03, 0.04, 0.01, 0.01, 0.01]",0,
2,Plurality,BTVA,50,3,"{'A': 19, 'C': 18, 'B': 13}","[1.0, 0.52, 1.0, 1.0, 1.0, 1.0, 0.52, 1.0, 0.81, 1.0, 0.43, 1.0, 0.52, 0.43, 1.0, 0.52, 0.81, 1.0, 0.81, 0.52, 0.43, 0.52, 1.0, 1.0, 0.81, 1.0, 0.52, 1.0, 0.52, 0.81, 0.43, 0.43, 0.43, 1.0, 0.81, 0.52, 0.52, 1.0, 0.52, 0.52, 0.81, 0.43, 0.81, 0.43, 0.43, 1.0, 0.52, 0.43, 1.0, 1.0]",36.54,[],"[0.01, 0.03, 0.0, 0.0, 0.0, 0.0, 0.03, 0.01, 0.01, 0.0, 0.04, 0.01, 0.03, 0.04, 0.01, 0.03, 0.01, 0.01, 0.01, 0.03, 0.04, 0.03, 0.0, 0.01, 0.01, 0.01, 0.03, 0.01, 0.03, 0.01, 0.04, 0.04, 0.04, 0.01, 0.01, 0.03, 0.03, 0.01, 0.03, 0.03, 0.01, 0.04, 0.01, 0.04, 0.04, 0.0, 0.03, 0.04, 0.0, 0.01]",0,
3,Plurality,BTVA,50,3,"{'B': 21, 'C': 18, 'A': 11}","[0.81, 1.0, 0.81, 1.0, 0.81, 1.0, 0.81, 0.43, 1.0, 1.0, 0.52, 1.0, 1.0, 0.52, 0.43, 0.52, 0.52, 0.52, 1.0, 1.0, 0.52, 0.43, 0.81, 0.81, 1.0, 1.0, 1.0, 0.81, 1.0, 1.0, 0.43, 0.52, 0.81, 0.81, 0.52, 1.0, 0.81, 1.0, 0.43, 0.81, 0.43, 0.52, 0.52, 0.52, 1.0, 1.0, 1.0, 1.0, 1.0, 0.52]",38.73,[],"[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.04, 0.0, 0.0, 0.03, 0.0, 0.01, 0.03, 0.04, 0.03, 0.03, 0.03, 0.0, 0.0, 0.03, 0.04, 0.01, 0.01, 0.0, 0.01, 0.01, 0.01, 0.01, 0.01, 0.04, 0.03, 0.01, 0.01, 0.03, 0.0, 0.01, 0.01, 0.04, 0.01, 0.04, 0.03, 0.03, 0.03, 0.0, 0.0, 0.0, 0.01, 0.0, 0.03]",0,
4,Plurality,BTVA,50,3,"{'A': 21, 'B': 15, 'C': 14}","[0.81, 1.0, 0.43, 1.0, 0.81, 0.81, 1.0, 0.52, 1.0, 0.52, 0.52, 0.43, 0.52, 1.0, 0.81, 0.52, 1.0, 0.52, 0.43, 0.81, 0.52, 0.52, 1.0, 1.0, 0.43, 0.81, 1.0, 0.43, 0.52, 1.0, 1.0, 1.0, 1.0, 1.0, 0.52, 1.0, 0.52, 0.43, 0.43, 0.81, 1.0, 1.0, 1.0, 0.52, 0.81, 1.0, 1.0, 0.81, 0.43, 1.0]",37.97,[],"[0.01, 0.0, 0.04, 0.01, 0.01, 0.01, 0.0, 0.03, 0.01, 0.03, 0.03, 0.04, 0.03, 0.01, 0.01, 0.03, 0.0, 0.03, 0.04, 0.01, 0.03, 0.03, 0.01, 0.01, 0.04, 0.01, 0.0, 0.04, 0.03, 0.0, 0.0, 0.0, 0.01, 0.01, 0.03, 0.0, 0.03, 0.04, 0.04, 0.01, 0.01, 0.01, 0.0, 0.03, 0.01, 0.01, 0.0, 0.01, 0.04, 0.01]",0,
5,Plurality,BTVA,50,3,"{'A': 19, 'B': 16, 'C': 15}","[0.52, 1.0, 0.52, 0.81, 1.0, 0.52, 1.0, 0.52, 0.52, 1.0, 0.52, 1.0, 0.52, 0.52, 0.52, 1.0, 1.0, 1.0, 1.0, 1.0, 0.43, 0.52, 1.0, 0.52, 0.52, 1.0, 0.43, 0.52, 1.0, 0.52, 0.52, 0.52, 0.81, 0.52, 1.0, 0.52, 0.52, 0.52, 0.43, 0.52, 0.52, 1.0, 1.0, 1.0, 0.52, 0.81, 0.43, 1.0, 0.43, 1.0]",35.54,[],"[0.03, 0.0, 0.03, 0.01, 0.01, 0.03, 0.01, 0.03, 0.03, 0.0, 0.03, 0.01, 0.03, 0.03, 0.03, 0.0, 0.01, 0.0, 0.01, 0.01, 0.04, 0.03, 0.0, 0.03, 0.03, 0.0, 0.04, 0.03, 0.01, 0.03, 0.03, 0.03, 0.01, 0.03, 0.0, 0.03, 0.03, 0.03, 0.04, 0.03, 0.03, 0.0, 0.01, 0.0, 0.03, 0.01, 0.04, 0.0, 0.04, 0.01]",0,
6,Plurality,BTVA,50,3,"{'B': 17, 'C': 17, 'A': 16}","[0.81, 0.81, 1.0, 0.52, 0.52, 1.0, 0.43, 1.0, 0.52, 0.52, 1.0, 1.0, 0.52, 0.52, 1.0, 0.52, 1.0, 0.52, 0.43, 0.52, 0.43, 0.43, 0.52, 1.0, 0.43, 1.0, 1.0, 1.0, 1.0, 0.81, 0.43, 0.52, 0.43, 0.52, 0.81, 1.0, 0.52, 0.81, 0.52, 1.0, 0.43, 0.52, 0.52, 1.0, 0.43, 1.0, 0.52, 1.0, 0.52, 0.52]",34.80000000000001,"[7, 19, 21, 22, 25, 31, 33, 41, 45]","[0.01, 0.01, 0.0, 0.03, 0.03, 0.01, 0.04, 0.01, 0.03, 0.03, 0.01, 0.0, 0.03, 0.03, 0.0, 0.03, 0.01, 0.03, 0.04, 0.03, 0.04, 0.04, 0.03, 0.0, 0.04, 0.0, 0.0, 0.0, 0.01, 0.01, 0.04, 0.03, 0.04, 0.03, 0.01, 0.01, 0.03, 0.01, 0.03, 0.01, 0.04, 0.03, 0.03, 0.01, 0.04, 0.0, 0.03, 0.0, 0.03, 0.03]",0.09000000000000002,
7,Plurality,BTVA,50,3,"{'A': 19, 'C': 16, 'B': 15}","[0.81, 0.81, 0.43, 0.81, 1.0, 1.0, 1.0, 0.43, 1.0, 1.0, 0.52, 0.52, 1.0, 0.52, 1.0, 0.43, 1.0, 1.0, 0.43, 1.0, 1.0, 1.0, 0.43, 0.52, 0.52, 1.0, 0.81, 0.81, 0.81, 0.81, 0.43, 1.0, 0.81, 0.52, 1.0, 0.52, 0.52, 0.43, 1.0, 0.52, 0.43, 1.0, 0.52, 0.52, 0.43, 0.43, 1.0, 0.52, 1.0, 0.52]",36.54,[],"[0.01, 0.01, 0.04, 0.01, 0.0, 0.0, 0.01, 0.04, 0.0, 0.0, 0.03, 0.03, 0.01, 0.03, 0.01, 0.04, 0.0, 0.0, 0.04, 0.0, 0.0, 0.01, 0.04, 0.03, 0.03, 0.0, 0.01, 0.01, 0.01, 0.01, 0.04, 0.0, 0.01, 0.03, 0.01, 0.03, 0.03, 0.04, 0.01, 0.03, 0.04, 0.01, 0.03, 0.03, 0.04, 0.04, 0.01, 0.03, 0.0, 0.03]",0,
8,Plurality,BTVA,50,3,"{'A': 17, 'C': 17, 'B': 16}","[0.81, 0.52, 1.0, 0.52, 1.0, 1.0, 0.43, 0.43, 0.81, 0.81, 0.52, 0.81, 0.81, 1.0, 1.0, 0.43, 0.81, 1.0, 0.52, 1.0, 0.52, 0.52, 1.0, 1.0, 0.81, 0.43, 1.0, 0.52, 1.0, 0.52, 1.0, 0.52, 1.0, 0.52, 0.43, 1.0, 0.52, 0.81, 1.0, 0.43, 0.52, 1.0, 0.52, 1.0, 0.52, 0.52, 0.43, 0.52, 0.81, 0.81]",36.43000000000001,"[7, 8, 16, 26, 35, 40, 47]","[0.01, 0.03, 0.01, 0.03, 0.0, 0.01, 0.04, 0.04, 0.01, 0.01, 0.03, 0.01, 0.01, 0.0, 0.0, 0.04, 0.01, 0.0, 0.03, 0.01, 0.03, 0.03, 0.0, 0.01, 0.01, 0.04, 0.0, 0.03, 0.0, 0.03, 0.01, 0.03, 0.01, 0.03, 0.04, 0.01, 0.03, 0.01, 0.01, 0.04, 0.03, 0.0, 0.03, 0.0, 0.03, 0.03, 0.04, 0.03, 0.01, 0.01]",0.09000000000000002,
9,Plurality,BTVA,50,3,"{'B': 22, 'A': 14, 'C': 14}","[1.0, 1.0, 1.0, 0.52, 0.52, 1.0, 1.0, 0.52, 1.0, 1.0, 1.0, 1.0, 0.43, 0.81, 0.52, 0.52, 1.0, 0.52, 1.0, 0.43, 0.52, 0.52, 1.0, 0.43, 0.52, 1.0, 0.81, 0.52, 0.52, 1.0, 1.0, 0.43, 1.0, 0.43, 1.0, 0.52, 0.43, 0.52, 1.0, 0.43, 1.0, 0.52, 0.81, 0.52, 0.43, 1.0, 0.81, 1.0, 1.0, 0.81]",37.290000000000006,[],"[0.01, 0.0, 0.0, 0.03, 0.03, 0.0, 0.01, 0.03, 0.0, 0.01, 0.0, 0.01, 0.04, 0.01, 0.03, 0.03, 0.0, 0.03, 0.01, 0.04, 0.03, 0.03, 0.01, 0.04, 0.03, 0.0, 0.01, 0.03, 0.03, 0.0, 0.01, 0.04, 0.01, 0.04, 0.01, 0.03, 0.04, 0.03, 0.01, 0.04, 0.01, 0.03, 0.01, 0.03, 0.04, 0.01, 0.01, 0.01, 0.0, 0.01]",0,
