vote_id,voting_scheme,limitation_dropped,num_voters,num_candidates,outcome,hapiness_list,overall_hapiness,strategic_voters,risk_of_strategic_voting,alternative_risk,pairs
0,Plurality,BTVA,50,4,"{'B': 17, 'D': 15, 'C': 10, 'A': 8}","[1.0, 0.54, 0.79, 1.0, 0.88, 0.88, 1.0, 0.88, 0.58, 1.0, 0.46, 0.58, 1.0, 0.54, 0.46, 1.0, 0.75, 0.58, 1.0, 1.0, 1.0, 0.5, 0.5, 1.0, 0.46, 0.88, 0.5, 0.58, 1.0, 0.75, 0.58, 0.54, 0.58, 0.54, 0.46, 0.58, 0.67, 0.67, 0.42, 0.88, 1.0, 0.79, 1.0, 0.58, 1.0, 0.75, 1.0, 1.0, 0.58, 1.0]",37.709999999999994,[],"[0.04, 0.07, 0.03, 0.03, 0.01, 0.01, 0.0, 0.01, 0.06, 0.01, 0.09, 0.06, 0.03, 0.07, 0.09, 0.01, 0.04, 0.06, 0.0, 0.01, 0.03, 0.08, 0.08, 0.04, 0.09, 0.01, 0.08, 0.05, 0.01, 0.02, 0.07, 0.07, 0.07, 0.07, 0.09, 0.07, 0.05, 0.05, 0.1, 0.01, 0.03, 0.03, 0.04, 0.05, 0.01, 0.04, 0.03, 0.01, 0.07, 0.03]",0,
1,Plurality,BTVA,50,4,"{'B': 15, 'C': 13, 'D': 13, 'A': 9}","[0.88, 0.58, 0.54, 0.58, 0.75, 0.58, 0.79, 1.0, 1.0, 0.46, 1.0, 0.75, 1.0, 0.42, 0.42, 1.0, 0.58, 1.0, 0.5, 0.5, 0.58, 0.88, 0.5, 0.5, 1.0, 1.0, 0.75, 0.42, 0.75, 0.54, 0.67, 0.75, 1.0, 0.58, 1.0, 0.75, 1.0, 1.0, 0.5, 0.58, 0.46, 1.0, 1.0, 0.75, 0.5, 0.75, 0.88, 1.0, 0.58, 0.58]",36.58,"[3, 14, 15, 28, 30, 41]","[0.01, 0.06, 0.07, 0.06, 0.04, 0.06, 0.03, 0.04, 0.03, 0.09, 0.0, 0.02, 0.03, 0.1, 0.1, 0.01, 0.06, 0.04, 0.09, 0.08, 0.06, 0.01, 0.08, 0.08, 0.01, 0.0, 0.03, 0.1, 0.03, 0.07, 0.05, 0.03, 0.01, 0.06, 0.03, 0.03, 0.03, 0.04, 0.08, 0.05, 0.09, 0.01, 0.03, 0.04, 0.08, 0.02, 0.01, 0.03, 0.06, 0.06]",0.11999999999999994,
2,Plurality,BTVA,50,4,"{'C': 15, 'D': 13, 'A': 11, 'B': 11}","[0.46, 0.42, 0.67, 1.0, 0.5, 0.46, 0.79, 1.0, 0.58, 1.0, 1.0, 0.75, 1.0, 0.75, 0.58, 1.0, 0.54, 1.0, 0.75, 1.0, 1.0, 0.46, 0.5, 0.75, 0.5, 0.5, 0.75, 0.58, 0.42, 1.0, 0.88, 0.54, 0.58, 1.0, 1.0, 0.5, 0.58, 0.5, 0.46, 1.0, 0.5, 1.0, 0.5, 0.58, 0.58, 0.58, 0.88, 1.0, 0.79, 0.75]",35.910000000000004,[3],"[0.09, 0.1, 0.05, 0.01, 0.08, 0.09, 0.03, 0.04, 0.06, 0.04, 0.04, 0.02, 0.0, 0.02, 0.06, 0.03, 0.07, 0.0, 0.02, 0.01, 0.04, 0.09, 0.08, 0.02, 0.08, 0.09, 0.04, 0.06, 0.1, 0.01, 0.01, 0.07, 0.07, 0.03, 0.01, 0.08, 0.06, 0.08, 0.09, 0.01, 0.08, 0.03, 0.08, 0.07, 0.05, 0.06, 0.01, 0.03, 0.03, 0.02]",0.07999999999999996,
3,Plurality,BTVA,50,4,"{'B': 17, 'C': 13, 'D': 11, 'A': 9}","[1.0, 1.0, 0.54, 0.75, 0.5, 0.54, 1.0, 0.5, 0.67, 0.75, 1.0, 0.58, 0.79, 0.79, 0.58, 0.67, 1.0, 1.0, 0.54, 1.0, 1.0, 0.58, 0.79, 0.58, 0.67, 0.46, 1.0, 0.58, 0.58, 1.0, 0.58, 0.58, 0.75, 0.58, 0.88, 1.0, 1.0, 0.58, 0.67, 1.0, 0.5, 0.46, 0.75, 1.0, 1.0, 0.46, 1.0, 1.0, 0.58, 0.75]",37.56,[],"[0.0, 0.03, 0.07, 0.04, 0.08, 0.07, 0.01, 0.08, 0.05, 0.04, 0.01, 0.07, 0.03, 0.03, 0.07, 0.05, 0.03, 0.01, 0.07, 0.0, 0.0, 0.06, 0.03, 0.05, 0.05, 0.09, 0.03, 0.06, 0.07, 0.01, 0.06, 0.05, 0.04, 0.05, 0.01, 0.03, 0.01, 0.07, 0.05, 0.0, 0.09, 0.09, 0.03, 0.04, 0.01, 0.09, 0.01, 0.01, 0.07, 0.04]",0,
4,Plurality,BTVA,50,4,"{'C': 18, 'A': 16, 'D': 9, 'B': 7}","[1.0, 1.0, 0.79, 0.75, 1.0, 1.0, 1.0, 0.58, 0.79, 0.67, 1.0, 0.75, 0.67, 0.58, 1.0, 0.75, 0.75, 0.46, 0.46, 0.46, 0.46, 0.75, 1.0, 1.0, 0.54, 1.0, 1.0, 0.54, 0.58, 1.0, 1.0, 0.88, 0.67, 0.79, 1.0, 1.0, 0.46, 0.75, 0.58, 0.67, 0.54, 1.0, 0.75, 0.75, 0.46, 0.75, 1.0, 1.0, 0.58, 0.67]",38.63,[],"[0.01, 0.03, 0.03, 0.03, 0.01, 0.04, 0.03, 0.06, 0.03, 0.05, 0.04, 0.02, 0.05, 0.06, 0.0, 0.04, 0.02, 0.09, 0.09, 0.09, 0.09, 0.02, 0.01, 0.03, 0.07, 0.03, 0.04, 0.07, 0.06, 0.01, 0.01, 0.01, 0.05, 0.03, 0.04, 0.03, 0.09, 0.04, 0.07, 0.05, 0.07, 0.03, 0.04, 0.03, 0.09, 0.03, 0.01, 0.01, 0.07, 0.05]",0,
5,Plurality,BTVA,50,4,"{'C': 19, 'A': 15, 'D': 11, 'B': 5}","[1.0, 1.0, 0.58, 1.0, 0.5, 0.75, 1.0, 1.0, 0.75, 0.79, 0.46, 0.58, 0.75, 0.58, 0.75, 0.79, 1.0, 1.0, 0.58, 0.42, 1.0, 0.5, 0.58, 0.58, 0.75, 0.75, 0.58, 0.67, 1.0, 0.58, 1.0, 1.0, 1.0, 1.0, 0.58, 0.75, 0.75, 0.88, 0.58, 1.0, 0.75, 1.0, 0.88, 1.0, 0.5, 1.0, 1.0, 1.0, 0.67, 0.46]",39.07,[],"[0.01, 0.0, 0.06, 0.01, 0.09, 0.04, 0.03, 0.04, 0.03, 0.03, 0.09, 0.07, 0.04, 0.06, 0.04, 0.03, 0.03, 0.01, 0.06, 0.1, 0.03, 0.09, 0.05, 0.07, 0.04, 0.03, 0.07, 0.05, 0.01, 0.06, 0.03, 0.01, 0.03, 0.0, 0.07, 0.02, 0.02, 0.01, 0.05, 0.03, 0.04, 0.04, 0.01, 0.0, 0.09, 0.03, 0.03, 0.03, 0.05, 0.09]",0,
6,Plurality,BTVA,50,4,"{'A': 19, 'D': 14, 'B': 10, 'C': 7}","[1.0, 0.58, 1.0, 0.75, 1.0, 0.46, 0.67, 0.67, 0.67, 0.54, 0.46, 1.0, 0.5, 1.0, 0.79, 0.58, 1.0, 1.0, 0.75, 1.0, 1.0, 0.58, 0.54, 1.0, 1.0, 1.0, 1.0, 0.54, 1.0, 1.0, 0.58, 0.58, 0.58, 0.58, 0.42, 1.0, 1.0, 0.88, 0.54, 0.88, 1.0, 0.75, 1.0, 0.58, 0.58, 0.5, 0.46, 0.46, 0.75, 0.79]",37.99,[],"[0.0, 0.06, 0.01, 0.02, 0.01, 0.09, 0.05, 0.05, 0.05, 0.07, 0.09, 0.01, 0.09, 0.04, 0.03, 0.06, 0.03, 0.03, 0.04, 0.04, 0.03, 0.07, 0.07, 0.03, 0.01, 0.03, 0.01, 0.07, 0.01, 0.03, 0.06, 0.05, 0.06, 0.06, 0.1, 0.03, 0.0, 0.01, 0.07, 0.01, 0.03, 0.03, 0.03, 0.06, 0.06, 0.09, 0.09, 0.09, 0.04, 0.03]",0,
7,Plurality,BTVA,50,4,"{'C': 19, 'B': 13, 'A': 10, 'D': 8}","[0.58, 1.0, 0.58, 0.58, 0.88, 0.58, 0.54, 0.88, 1.0, 0.58, 0.79, 0.58, 0.42, 0.75, 0.67, 0.5, 0.58, 1.0, 1.0, 1.0, 1.0, 1.0, 0.88, 0.58, 0.58, 0.75, 0.75, 0.75, 1.0, 1.0, 0.54, 0.5, 0.75, 1.0, 1.0, 1.0, 1.0, 0.58, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 0.54, 0.46, 0.5, 1.0, 0.42, 0.58]",38.150000000000006,[],"[0.07, 0.01, 0.07, 0.07, 0.01, 0.06, 0.07, 0.01, 0.01, 0.06, 0.03, 0.07, 0.1, 0.03, 0.05, 0.08, 0.05, 0.04, 0.03, 0.04, 0.03, 0.03, 0.01, 0.06, 0.05, 0.03, 0.02, 0.04, 0.01, 0.04, 0.07, 0.09, 0.04, 0.0, 0.03, 0.03, 0.01, 0.06, 0.03, 0.03, 0.04, 0.0, 0.09, 0.01, 0.07, 0.09, 0.08, 0.01, 0.1, 0.06]",0,
8,Plurality,BTVA,50,4,"{'B': 16, 'D': 14, 'C': 13, 'A': 7}","[0.75, 0.5, 1.0, 1.0, 0.79, 1.0, 0.58, 0.54, 0.67, 0.75, 0.58, 0.46, 0.42, 0.75, 0.42, 1.0, 1.0, 0.58, 1.0, 0.67, 0.58, 1.0, 0.67, 0.79, 0.67, 0.75, 1.0, 0.88, 1.0, 1.0, 0.58, 0.75, 0.5, 0.46, 1.0, 0.46, 0.46, 0.54, 0.5, 0.67, 0.54, 0.42, 0.42, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 0.75]",36.349999999999994,"[13, 15, 41, 42, 43]","[0.02, 0.08, 0.04, 0.04, 0.03, 0.0, 0.05, 0.07, 0.05, 0.03, 0.06, 0.09, 0.1, 0.02, 0.1, 0.04, 0.0, 0.05, 0.0, 0.05, 0.06, 0.0, 0.05, 0.03, 0.05, 0.02, 0.0, 0.01, 0.03, 0.01, 0.07, 0.02, 0.08, 0.09, 0.03, 0.09, 0.09, 0.07, 0.09, 0.05, 0.07, 0.1, 0.1, 0.0, 0.03, 0.08, 0.01, 0.04, 0.0, 0.04]",0.08000000000000002,
9,Plurality,BTVA,50,4,"{'B': 15, 'D': 14, 'C': 11, 'A': 10}","[0.58, 0.58, 1.0, 1.0, 0.75, 0.67, 0.58, 0.46, 0.75, 1.0, 0.79, 0.58, 0.67, 0.5, 0.46, 0.46, 1.0, 1.0, 0.46, 0.75, 1.0, 1.0, 0.58, 0.5, 1.0, 0.58, 0.54, 0.58, 0.58, 0.88, 1.0, 1.0, 0.75, 1.0, 1.0, 0.46, 0.54, 0.5, 0.58, 0.75, 0.54, 0.75, 0.42, 1.0, 1.0, 0.46, 1.0, 0.75, 0.58, 0.58]",35.94,"[5, 6, 13, 33, 40, 48]","[0.06, 0.07, 0.04, 0.01, 0.02, 0.05, 0.06, 0.09, 0.03, 0.03, 0.03, 0.07, 0.05, 0.09, 0.09, 0.09, 0.01, 0.01, 0.09, 0.04, 0.03, 0.01, 0.07, 0.08, 0.01, 0.06, 0.07, 0.07, 0.07, 0.01, 0.01, 0.03, 0.02, 0.04, 0.03, 0.09, 0.07, 0.08, 0.05, 0.02, 0.07, 0.04, 0.1, 0.01, 0.01, 0.09, 0.01, 0.02, 0.06, 0.05]",0.13,
10,Plurality,ATVA_1,50,4,"{'A': 21, 'C': 13, 'D': 10, 'B': 6}","[1.0, 1.0, 1.0, 0.46, 0.46, 1.0, 0.67, 1.0, 1.0, 1.0, 0.5, 0.88, 0.58, 1.0, 0.58, 0.58, 0.58, 1.0, 1.0, 1.0, 1.0, 1.0, 0.67, 1.0, 1.0, 1.0, 0.5, 0.58, 0.88, 0.42, 0.58, 0.58, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 0.5, 0.46, 0.58, 0.75, 0.67, 0.46, 0.88, 0.58, 0.5, 0.58, 0.88, 0.75]",38.59,[],"[0.03, 0.01, 0.01, 0.09, 0.09, 0.03, 0.05, 0.0, 0.04, 0.03, 0.08, 0.01, 0.07, 0.03, 0.06, 0.07, 0.06, 0.01, 0.03, 0.03, 0.04, 0.04, 0.05, 0.01, 0.01, 0.03, 0.08, 0.07, 0.01, 0.1, 0.07, 0.07, 0.01, 0.03, 0.08, 0.03, 0.0, 0.0, 0.08, 0.09, 0.07, 0.03, 0.05, 0.09, 0.01, 0.05, 0.08, 0.07, 0.01, 0.04]",0,
11,Plurality,ATVA_1,50,4,"{'C': 18, 'B': 13, 'A': 10, 'D': 9}","[0.5, 0.58, 0.54, 0.58, 0.46, 1.0, 1.0, 0.54, 1.0, 0.75, 0.58, 0.58, 1.0, 0.46, 1.0, 1.0, 1.0, 0.58, 1.0, 0.88, 0.5, 0.75, 0.54, 1.0, 1.0, 0.79, 0.42, 1.0, 0.54, 1.0, 0.58, 0.54, 1.0, 0.58, 0.5, 0.58, 0.58, 1.0, 0.58, 1.0, 1.0, 0.79, 0.67, 0.88, 0.67, 0.46, 0.58, 1.0, 0.58, 1.0]",37.14,[],"[0.09, 0.07, 0.07, 0.06, 0.09, 0.01, 0.0, 0.07, 0.03, 0.04, 0.07, 0.06, 0.03, 0.09, 0.01, 0.01, 0.03, 0.05, 0.03, 0.01, 0.09, 0.02, 0.07, 0.01, 0.03, 0.03, 0.1, 0.01, 0.07, 0.01, 0.07, 0.07, 0.01, 0.07, 0.09, 0.06, 0.07, 0.0, 0.07, 0.03, 0.04, 0.03, 0.05, 0.01, 0.05, 0.09, 0.05, 0.04, 0.05, 0.01]",0,
12,Plurality,ATVA_1,50,4,"{'B': 15, 'D': 14, 'A': 13, 'C': 8}","[0.58, 1.0, 0.75, 0.67, 0.58, 1.0, 0.58, 0.54, 1.0, 0.46, 1.0, 0.75, 0.5, 0.54, 1.0, 0.79, 1.0, 0.58, 0.58, 0.75, 0.75, 0.67, 0.54, 0.46, 0.75, 1.0, 0.58, 0.46, 0.58, 0.75, 0.58, 1.0, 1.0, 1.0, 0.75, 1.0, 0.5, 1.0, 0.42, 0.46, 0.5, 1.0, 0.67, 1.0, 0.75, 0.88, 1.0, 0.5, 0.46, 0.54]",36.2,"[10, 14, 39, 49]","[0.07, 0.01, 0.04, 0.05, 0.05, 0.04, 0.05, 0.07, 0.01, 0.09, 0.01, 0.04, 0.09, 0.07, 0.01, 0.03, 0.03, 0.06, 0.06, 0.02, 0.02, 0.05, 0.07, 0.09, 0.02, 0.0, 0.06, 0.09, 0.07, 0.02, 0.06, 0.01, 0.03, 0.03, 0.02, 0.03, 0.08, 0.01, 0.1, 0.09, 0.09, 0.0, 0.05, 0.04, 0.03, 0.01, 0.04, 0.08, 0.09, 0.07]",0.11999999999999994,"[(10, 37), (10, 40), (10, 49), (49, 50), (14, 28), (39, 45), (14, 37), (10, 12), (39, 48), (14, 40), (10, 24), (14, 49), (10, 39), (10, 45), (10, 48), (14, 24), (10, 14), (39, 50), (10, 23), (14, 39), (14, 45), (14, 48), (10, 50), (14, 23), (39, 40), (39, 49), (10, 28), (14, 50)]"
13,Plurality,ATVA_1,50,4,"{'C': 18, 'D': 15, 'B': 12, 'A': 5}","[0.67, 1.0, 0.46, 0.46, 0.5, 1.0, 0.46, 1.0, 1.0, 1.0, 0.54, 0.75, 0.5, 0.5, 1.0, 0.75, 1.0, 0.79, 1.0, 0.54, 1.0, 0.58, 0.75, 0.88, 0.67, 1.0, 1.0, 0.75, 0.42, 0.67, 1.0, 0.58, 0.67, 1.0, 1.0, 0.58, 0.75, 0.79, 0.79, 0.75, 0.54, 0.67, 0.79, 0.46, 1.0, 0.88, 1.0, 1.0, 0.5, 1.0]",38.39,[],"[0.05, 0.03, 0.09, 0.09, 0.08, 0.0, 0.09, 0.0, 0.01, 0.03, 0.07, 0.03, 0.08, 0.09, 0.01, 0.04, 0.04, 0.03, 0.03, 0.07, 0.03, 0.05, 0.02, 0.01, 0.05, 0.01, 0.03, 0.03, 0.1, 0.05, 0.01, 0.06, 0.05, 0.03, 0.01, 0.07, 0.02, 0.03, 0.03, 0.04, 0.07, 0.05, 0.03, 0.09, 0.01, 0.01, 0.03, 0.01, 0.08, 0.01]",0,
