vote_id,voting_scheme,limitation_dropped,num_voters,num_candidates,outcome,hapiness_list,overall_hapiness,strategic_voters,risk_of_strategic_voting,alternative_risk,pairs
0,Plurality,BTVA,50,5,"{'C': 16, 'D': 12, 'A': 11, 'B': 7, 'E': 4}","[1.0, 0.65, 0.55, 0.6, 0.6, 0.86, 1.0, 1.0, 0.39, 1.0, 0.46, 1.0, 1.0, 0.58, 0.74, 0.88, 0.6, 0.58, 1.0, 0.46, 1.0, 0.81, 0.74, 0.74, 1.0, 0.62, 1.0, 0.81, 1.0, 0.6, 0.46, 1.0, 0.53, 1.0, 0.62, 0.76, 0.6, 1.0, 0.72, 0.76, 0.53, 0.62, 0.53, 1.0, 0.44, 0.53, 0.72, 0.65, 0.58, 1.0]",37.31999999999999,"[3, 9, 20, 31, 45]","[0.03, 0.11, 0.12, 0.13, 0.11, 0.04, 0.07, 0.04, 0.2, 0.04, 0.17, 0.01, 0.04, 0.11, 0.04, 0.03, 0.11, 0.11, 0.07, 0.17, 0.03, 0.02, 0.06, 0.06, 0.09, 0.11, 0.06, 0.05, 0.04, 0.13, 0.17, 0.04, 0.15, 0.03, 0.11, 0.07, 0.12, 0.09, 0.08, 0.05, 0.15, 0.1, 0.15, 0.06, 0.18, 0.15, 0.08, 0.09, 0.13, 0.04]",0.07,
1,Plurality,BTVA,50,5,"{'C': 11, 'D': 11, 'A': 10, 'E': 10, 'B': 8}","[1.0, 1.0, 0.48, 0.6, 0.41, 0.74, 0.58, 0.84, 0.74, 0.67, 0.72, 0.53, 0.6, 0.53, 1.0, 0.72, 0.58, 0.81, 0.51, 0.72, 0.86, 1.0, 0.46, 0.51, 1.0, 1.0, 0.81, 0.53, 0.62, 0.67, 0.72, 1.0, 1.0, 1.0, 0.41, 0.44, 0.62, 0.48, 0.55, 0.72, 0.6, 0.48, 0.65, 0.74, 0.67, 0.62, 0.91, 0.51, 1.0, 1.0]",35.36,"[3, 4, 5, 10, 14, 19, 28, 35, 36, 37, 38, 39, 42, 45]","[0.09, 0.02, 0.16, 0.11, 0.19, 0.04, 0.11, 0.03, 0.04, 0.1, 0.09, 0.15, 0.13, 0.15, 0.04, 0.08, 0.11, 0.02, 0.14, 0.09, 0.02, 0.04, 0.17, 0.15, 0.06, 0.03, 0.02, 0.13, 0.08, 0.1, 0.08, 0.04, 0.06, 0.05, 0.19, 0.18, 0.1, 0.16, 0.13, 0.08, 0.12, 0.17, 0.11, 0.04, 0.1, 0.11, 0.01, 0.15, 0.09, 0.03]",0.09999999999999998,
2,Plurality,BTVA,50,5,"{'D': 18, 'B': 10, 'A': 9, 'E': 9, 'C': 4}","[0.48, 0.72, 0.79, 0.91, 0.69, 1.0, 1.0, 0.6, 0.51, 0.53, 0.86, 0.65, 1.0, 0.51, 1.0, 1.0, 1.0, 0.86, 1.0, 1.0, 0.53, 0.55, 1.0, 1.0, 1.0, 0.69, 0.74, 1.0, 0.41, 0.76, 0.67, 0.74, 0.65, 0.81, 1.0, 1.0, 1.0, 0.62, 0.62, 0.62, 0.58, 1.0, 0.6, 0.69, 0.55, 0.58, 0.51, 1.0, 0.86, 1.0]",38.89,"[1, 22, 29, 31, 39, 41, 45]","[0.16, 0.08, 0.04, 0.01, 0.09, 0.07, 0.03, 0.11, 0.15, 0.15, 0.04, 0.11, 0.04, 0.15, 0.1, 0.04, 0.01, 0.02, 0.1, 0.02, 0.15, 0.12, 0.03, 0.06, 0.09, 0.09, 0.04, 0.03, 0.19, 0.05, 0.1, 0.06, 0.09, 0.05, 0.03, 0.03, 0.01, 0.12, 0.12, 0.12, 0.13, 0.03, 0.13, 0.09, 0.12, 0.13, 0.15, 0.05, 0.02, 0.07]",0.09999999999999998,
3,Plurality,BTVA,50,5,"{'B': 16, 'E': 10, 'A': 9, 'C': 8, 'D': 7}","[0.46, 1.0, 0.72, 0.76, 0.58, 0.55, 1.0, 0.62, 0.55, 0.72, 0.86, 1.0, 1.0, 0.81, 0.48, 0.53, 1.0, 0.81, 0.53, 1.0, 0.51, 0.84, 1.0, 0.69, 1.0, 0.6, 0.72, 1.0, 0.48, 0.76, 0.44, 0.79, 0.48, 0.62, 0.51, 0.53, 1.0, 0.62, 0.65, 0.48, 1.0, 0.62, 0.72, 1.0, 1.0, 1.0, 0.76, 1.0, 0.48, 1.0]",37.279999999999994,"[9, 21, 40, 49]","[0.17, 0.03, 0.09, 0.05, 0.13, 0.14, 0.05, 0.08, 0.12, 0.08, 0.04, 0.03, 0.0, 0.02, 0.16, 0.15, 0.03, 0.02, 0.13, 0.03, 0.14, 0.03, 0.07, 0.07, 0.09, 0.11, 0.08, 0.07, 0.17, 0.07, 0.18, 0.04, 0.16, 0.11, 0.15, 0.13, 0.03, 0.11, 0.11, 0.16, 0.07, 0.12, 0.08, 0.01, 0.03, 0.04, 0.05, 0.1, 0.16, 0.03]",0.09999999999999998,
4,Plurality,BTVA,50,5,"{'C': 12, 'B': 11, 'D': 11, 'E': 11, 'A': 5}","[0.72, 0.76, 0.6, 0.6, 1.0, 0.86, 0.58, 0.58, 0.76, 1.0, 0.65, 0.69, 0.41, 0.69, 0.67, 1.0, 1.0, 0.6, 1.0, 0.62, 0.86, 0.62, 0.62, 0.76, 1.0, 0.51, 0.91, 0.51, 0.58, 1.0, 0.79, 0.46, 1.0, 0.58, 0.48, 0.41, 0.65, 0.53, 0.74, 0.69, 0.48, 1.0, 0.74, 0.81, 1.0, 0.74, 1.0, 0.53, 0.76, 1.0]",36.55,"[7, 13, 15, 18, 22, 23, 26, 28, 29, 34, 35, 36, 38, 41, 48]","[0.09, 0.05, 0.12, 0.13, 0.02, 0.04, 0.11, 0.13, 0.05, 0.1, 0.09, 0.09, 0.19, 0.09, 0.1, 0.07, 0.06, 0.11, 0.03, 0.11, 0.02, 0.1, 0.1, 0.07, 0.01, 0.15, 0.01, 0.14, 0.11, 0.04, 0.06, 0.17, 0.03, 0.1, 0.16, 0.19, 0.09, 0.13, 0.04, 0.07, 0.16, 0.04, 0.04, 0.05, 0.01, 0.04, 0.03, 0.15, 0.07, 0.06]",0.07000000000000006,
5,Plurality,BTVA,50,5,"{'C': 15, 'B': 11, 'A': 10, 'E': 9, 'D': 5}","[0.86, 1.0, 0.84, 0.51, 0.51, 1.0, 1.0, 0.69, 0.81, 0.55, 0.69, 0.62, 0.88, 0.58, 1.0, 0.79, 0.48, 0.55, 0.79, 0.46, 0.6, 0.65, 1.0, 1.0, 0.53, 0.53, 0.62, 1.0, 0.76, 0.91, 0.41, 1.0, 1.0, 1.0, 0.86, 0.76, 0.48, 1.0, 0.72, 1.0, 0.44, 0.74, 0.51, 1.0, 0.72, 0.67, 0.53, 1.0, 1.0, 0.69]",37.739999999999995,"[4, 5, 18, 31, 37, 43, 46]","[0.02, 0.0, 0.03, 0.14, 0.14, 0.04, 0.02, 0.09, 0.02, 0.13, 0.09, 0.08, 0.03, 0.13, 0.07, 0.06, 0.16, 0.12, 0.04, 0.17, 0.11, 0.09, 0.04, 0.01, 0.15, 0.16, 0.11, 0.09, 0.05, 0.01, 0.19, 0.07, 0.01, 0.05, 0.02, 0.05, 0.16, 0.07, 0.08, 0.01, 0.18, 0.06, 0.14, 0.03, 0.08, 0.1, 0.13, 0.01, 0.09, 0.07]",0.050000000000000044,
6,Plurality,BTVA,50,5,"{'D': 13, 'C': 12, 'A': 11, 'E': 8, 'B': 6}","[0.81, 0.74, 0.53, 0.62, 1.0, 1.0, 0.91, 0.62, 1.0, 0.81, 0.58, 1.0, 0.74, 0.65, 0.69, 0.55, 0.48, 0.48, 0.55, 1.0, 0.86, 0.58, 1.0, 0.76, 0.44, 0.72, 0.48, 1.0, 0.58, 0.86, 0.6, 0.69, 0.86, 0.6, 1.0, 0.81, 1.0, 0.53, 0.65, 1.0, 0.53, 1.0, 0.74, 1.0, 1.0, 0.39, 0.6, 0.76, 0.62, 0.76]",37.17999999999999,"[2, 3, 13, 15, 16, 17, 25, 26, 27, 31, 34, 38, 41, 43, 46]","[0.05, 0.06, 0.15, 0.1, 0.05, 0.01, 0.01, 0.08, 0.01, 0.02, 0.13, 0.01, 0.04, 0.09, 0.09, 0.14, 0.17, 0.16, 0.14, 0.01, 0.04, 0.13, 0.04, 0.07, 0.18, 0.07, 0.17, 0.06, 0.13, 0.02, 0.12, 0.09, 0.02, 0.11, 0.09, 0.02, 0.09, 0.15, 0.11, 0.03, 0.15, 0.07, 0.06, 0.03, 0.09, 0.2, 0.12, 0.05, 0.11, 0.05]",0.050000000000000044,
7,Plurality,BTVA,50,5,"{'C': 16, 'A': 10, 'E': 9, 'B': 8, 'D': 7}","[1.0, 0.6, 0.62, 1.0, 0.69, 0.91, 1.0, 1.0, 0.74, 0.62, 1.0, 0.6, 1.0, 1.0, 0.55, 0.39, 0.58, 0.48, 0.55, 0.51, 0.6, 1.0, 1.0, 0.76, 0.6, 0.69, 1.0, 0.46, 0.62, 0.46, 1.0, 0.51, 1.0, 0.76, 0.62, 0.48, 0.76, 0.76, 0.74, 1.0, 0.48, 1.0, 0.41, 0.72, 0.44, 0.48, 1.0, 0.69, 0.79, 1.0]",36.67,"[5, 16, 19, 26, 29, 35, 37, 43]","[0.07, 0.12, 0.1, 0.02, 0.09, 0.01, 0.0, 0.09, 0.06, 0.12, 0.09, 0.11, 0.07, 0.06, 0.13, 0.2, 0.13, 0.16, 0.14, 0.15, 0.13, 0.03, 0.09, 0.07, 0.11, 0.09, 0.06, 0.17, 0.11, 0.17, 0.01, 0.14, 0.07, 0.05, 0.11, 0.16, 0.05, 0.07, 0.04, 0.07, 0.16, 0.03, 0.19, 0.08, 0.18, 0.17, 0.07, 0.09, 0.04, 0.01]",0.09999999999999998,
8,Plurality,BTVA,50,5,"{'E': 12, 'A': 10, 'C': 10, 'B': 9, 'D': 9}","[0.58, 0.51, 0.72, 1.0, 0.53, 0.53, 0.58, 0.69, 1.0, 0.51, 0.48, 0.46, 1.0, 1.0, 0.72, 0.51, 0.79, 0.74, 0.58, 0.62, 1.0, 0.76, 0.62, 1.0, 0.55, 0.86, 0.46, 1.0, 1.0, 0.58, 0.41, 0.6, 0.69, 0.72, 1.0, 0.6, 0.69, 0.48, 0.84, 0.88, 0.48, 0.84, 0.79, 0.53, 0.84, 0.62, 0.48, 1.0, 1.0, 1.0]",35.87,"[2, 5, 10, 12, 16, 31, 38, 41]","[0.13, 0.14, 0.08, 0.03, 0.15, 0.16, 0.13, 0.09, 0.05, 0.14, 0.16, 0.17, 0.06, 0.1, 0.08, 0.14, 0.04, 0.04, 0.11, 0.12, 0.07, 0.05, 0.1, 0.03, 0.13, 0.02, 0.17, 0.05, 0.02, 0.13, 0.19, 0.13, 0.09, 0.07, 0.06, 0.11, 0.09, 0.16, 0.03, 0.03, 0.16, 0.03, 0.06, 0.16, 0.03, 0.1, 0.16, 0.06, 0.09, 0.06]",0.07,
9,Plurality,BTVA,50,5,"{'A': 16, 'C': 10, 'D': 9, 'B': 8, 'E': 7}","[0.55, 0.74, 0.46, 1.0, 0.62, 1.0, 0.53, 1.0, 1.0, 1.0, 0.67, 0.55, 0.53, 1.0, 1.0, 0.53, 0.41, 0.55, 1.0, 1.0, 0.46, 1.0, 0.62, 0.53, 0.79, 0.58, 0.69, 0.69, 1.0, 0.79, 0.74, 0.72, 0.76, 0.62, 0.65, 1.0, 0.48, 1.0, 1.0, 1.0, 0.72, 1.0, 0.46, 0.48, 0.6, 0.79, 0.48, 0.51, 0.79, 0.41]",36.49999999999999,"[5, 7, 13, 17, 21, 45, 50]","[0.12, 0.06, 0.17, 0.02, 0.12, 0.05, 0.15, 0.07, 0.07, 0.01, 0.1, 0.14, 0.15, 0.03, 0.05, 0.15, 0.19, 0.13, 0.03, 0.05, 0.17, 0.0, 0.12, 0.13, 0.04, 0.13, 0.09, 0.09, 0.0, 0.04, 0.04, 0.08, 0.05, 0.08, 0.11, 0.09, 0.16, 0.04, 0.04, 0.08, 0.08, 0.07, 0.17, 0.16, 0.11, 0.04, 0.16, 0.15, 0.06, 0.19]",0.07,
